x,r,cf_t,pressure_pa,yplus
0.3500702,0.2025568,2.029316,98238.59,0.1423756
0.3519452,0.2025568,2.029316,98238.59,0.1423756
0.3538202,0.2025568,2.029316,98238.59,0.1423756
0.3556952,0.2025568,2.029316,98238.59,0.1423756
0.3575702,0.2025568,2.029316,98238.59,0.1423756
0.3594452,0.2025568,2.029316,98238.59,0.1423756
0.3613202,0.2025568,2.029316,98238.59,0.1423756
0.3631952,0.2025568,2.029316,98238.59,0.1423756
0.3650702,0.2025568,2.029316,98238.59,0.1423756
0.3669452,0.2025568,2.029316,98238.59,0.1423756
0.3688202,0.2025568,2.029316,98238.59,0.1423756
0.3706952,0.2025568,2.029316,98238.59,0.1423756
0.3725702,0.2025568,2.029316,98238.59,0.1423756
0.3744452,0.2025568,2.029316,98238.59,0.1423756
0.3763202,0.2025568,2.029316,98238.59,0.1423756
0.3781952,0.2025568,2.029316,98238.59,0.1423756
0.3800702,0.2025568,2.029316,98238.59,0.1423756
0.3819452,0.2025568,2.029316,98238.59,0.1423756
0.3838202,0.2025568,2.029316,98238.59,0.1423756
0.3856952,0.2025568,2.029316,98238.59,0.1423756
0.3875702,0.2025568,2.029316,98238.59,0.1423756
0.3894452,0.2025568,2.029316,98238.59,0.1423756
0.3913202,0.2025568,2.029316,98238.59,0.1423756
0.3931952,0.2025568,2.029316,98238.59,0.1423756
0.3950702,0.2025568,2.029316,98238.59,0.1423756
0.3969452,0.2025568,2.029316,98238.59,0.1423756
0.3988202,0.2025568,2.029316,98238.59,0.1423756
0.4006952,0.2025568,2.029316,98238.59,0.1423756
0.4025702,0.2025568,2.029316,98238.59,0.1423756
0.4044452,0.2025568,2.029316,98238.59,0.1423756
0.4063202,0.2025568,2.029316,98238.59,0.1423756
0.4081952,0.2025568,2.029316,98238.59,0.1423756
0.4100702,0.2025568,2.029316,98238.59,0.1423756
0.4119452,0.2025568,2.029316,98238.59,0.1423756
0.4138202,0.2025568,2.029316,98238.59,0.1423756
0.4156952,0.2025568,2.029316,98238.59,0.1423756
0.4175702,0.2025568,2.029316,98238.59,0.1423756
0.4194452,0.2025568,2.029316,98238.59,0.1423756
0.4213202,0.2025568,2.029316,98238.59,0.1423756
0.4231952,0.2025568,2.029316,98238.59,0.1423756
0.4250702,0.2025568,2.029316,98238.59,0.1423756
0.4269452,0.2025568,2.029316,98238.59,0.1423756
0.4288202,0.2025568,2.029316,98238.59,0.1423756
0.4306952,0.2025568,2.029316,98238.59,0.1423756
0.4325702,0.2025568,2.029316,98238.59,0.1423756
0.4344452,0.2025568,2.029316,98238.59,0.1423756
0.4363202,0.2025568,2.029316,98238.59,0.1423756
0.4381952,0.2025568,2.029316,98238.59,0.1423756
0.4400702,0.2025568,2.029316,98238.59,0.1423756
0.4419452,0.2025568,2.029316,98238.59,0.1423756
0.4438202,0.2025568,2.029316,98238.59,0.1423756
0.4456952,0.2025568,2.029316,98238.59,0.1423756
0.4475702,0.2025568,2.029316,98238.59,0.1423756
0.4494452,0.2025568,2.029316,98238.59,0.1423756
0.4513202,0.2025568,2.029316,98238.59,0.1423756
0.4531952,0.2025568,2.029316,98238.59,0.1423756
0.4550702,0.2025568,2.029316,98238.59,0.1423756
0.4569452,0.2025568,2.029316,98238.59,0.1423756
0.4588202,0.2025568,2.029316,98238.59,0.1423756
0.4606952,0.2025568,2.029316,98238.59,0.1423756
0.4625702,0.2025568,2.029315,98238.59,0.1423756
0.4644452,0.2025568,2.029315,98238.59,0.1423756
0.4663202,0.2025568,2.029315,98238.59,0.1423756
0.4681952,0.2025568,2.029315,98238.59,0.1423756
0.4700702,0.2025568,2.029315,98238.6,0.1423756
0.4719452,0.2025568,2.029315,98238.6,0.1423756
0.4738202,0.2025568,2.029315,98238.6,0.1423756
0.4756952,0.2025568,2.029315,98238.6,0.1423756
0.4775702,0.2025568,2.029315,98238.6,0.1423756
0.4794452,0.2025568,2.029315,98238.6,0.1423756
0.4813202,0.2025568,2.029315,98238.6,0.1423756
0.4831952,0.2025568,2.029315,98238.6,0.1423756
0.4850702,0.2025568,2.029315,98238.6,0.1423756
0.4869452,0.2025568,2.029315,98238.6,0.1423756
0.4888202,0.2025568,2.029315,98238.6,0.1423756
0.4906952,0.2025568,2.029315,98238.6,0.1423756
0.4925702,0.2025568,2.029315,98238.6,0.1423756
0.4944452,0.2025568,2.029315,98238.6,0.1423756
0.4963202,0.2025568,2.029315,98238.6,0.1423756
0.4981952,0.2025568,2.029315,98238.6,0.1423756
0.5000702,0.2025568,2.029315,98238.6,0.1423756
0.5019452,0.2025568,2.029315,98238.6,0.1423756
0.5038202,0.2025568,2.029316,98238.6,0.1423756
0.5056952,0.2025568,2.029317,98238.6,0.1423757
0.5075702,0.2025568,2.029322,98238.59,0.1423758
0.5094452,0.2025568,2.029338,98238.58,0.1423764
0.5113202,0.2025568,2.029406,98238.56,0.1423788
0.5131952,0.2025568,2.029741,98238.53,0.1423905
0.5150702,0.2025568,2.031413,98238.49,0.1424491
